Precio,Barrios,Expensas,Ambientes,MetrosCuadrados,Direccion,Dolarizado,PrecioPesos,PrecioM2Pesos,Tipo,ID,Ciudad,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Barrio_geopy,Barrio_Recod,Corredor,DireccionNorm,Latitud,Longitud
USD 3.500,"Belgrano, Capital Federal",,7.0,383.0,Montañeses al 2100,si,4952500.0,1.29308093994778e+16,casas-,53394466,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Montañeses 2100,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5575258,-58.4488908
USD 11.500,"Belgrano, Capital Federal",$ 200.000 Expensas,5.0,750.0,Forum Alcorta - Ramsay al 2000,si,16272500.0,2.16966666666666e+16,casas-,53455719,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Forum Alcorta - Ramsay 2000,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 4.500,"Belgrano, Capital Federal",,,540.0,Echeverria al 3300,si,6367500.0,1.17916666666666e+16,casas-,53751573,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Echeverria 3300,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5682041,-58.4645408
USD 9.500,"Belgrano, Capital Federal",,6.0,600.0,Gorostiaga al 2100 - Espectacular Casa - Zona de Embajadas - 4 Dormitorios + Esc + 3 Cocheras,si,13442500.0,2.24041666666666e+16,casas-,53825509,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Gorostiaga 2100 - Espectacular Casa - Zona de Embajadas - 4 Dormitorios + Esc + 3 Cocheras,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 4.500,"Belgrano, Capital Federal",,5.0,489.0,Maure  2200,si,6367500.0,1.3021472392638e+16,casas-,53906641,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Maure 2200,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 4.000,"Belgrano, Capital Federal",,8.0,450.0,Av Romulo Naon al 1900,si,5660000.0,1.25777777777777e+16,casas-,53268352,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av Romulo Naon 1900,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5721794,-58.4688941
USD 6.500,"Belgrano, Capital Federal",,,225.0,Sargento Eduardo Romero al 2500,si,9197500.0,4087777777777770.0,casas-,53519072,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Sargento Eduardo Romero 2500,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5492973,-58.447658
Consultar precio,"Belgrano, Capital Federal",,6.0,650.0,Ramsay 2000,sin dato,1.0,0.0015384615384615,casas-,53768893,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Ramsay 2000,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5531399,-58.4390801
USD 6.000,"Belgrano, Capital Federal",,,554.0,3 de Febrero y Zavalia,si,8490000.0,1.53249097472924e+16,casas-,53673172,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"3 de Febrero y Zavalia,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 4.000,"Belgrano, Capital Federal",,7.0,320.0,Nicanor Mendez 2500,si,5660000.0,17687.5,casas-,53992219,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Nicanor Mendez 2500,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5509509,-58.4478463
USD 3.800,"Belgrano, Capital Federal",,,600.0,Ramsay  al 1900,si,5377000.0,8961666666666660.0,casas-,54045724,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Ramsay 1900,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5540821,-58.4382895
USD 5.000,"Belgrano, Capital Federal",,6.0,380.0,Husares  al 2000,si,7075000.0,1861842105263150.0,casas-,51983706,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Husares 2000,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5544577,-58.4413633
USD 5.000,"Belgrano, Capital Federal",,7.0,450.0,La Pampa al 3100,si,7075000.0,1.57222222222222e+16,casas-,54127110,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"La Pampa 3100,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5687887,-58.4608055
USD 3.500,"Belgrano, Capital Federal",,,375.0,Zabala  al 2100,si,4952500.0,1.32066666666666e+16,casas-,52471826,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Zabala 2100,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5630511,-58.4419852
USD 18.000,"Belgrano, Capital Federal",,6.0,1580.0,O´higgins  al 1300,si,25470000.0,1.61202531645569e+16,casas-,54144316,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"O´higgins 1300,Belgrano, Ciudad de Buenos Aires, Argentina",-34.554746,-58.4573828
Consultar precio,"Belgrano, Capital Federal",,9.0,1200.0,O'higgins al 1300,sin dato,1.0,0.0008333333333333,casas-,53159044,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"O'higgins 1300,Belgrano, Ciudad de Buenos Aires, Argentina",-34.554746,-58.4573828
USD 4.000,"Belgrano, Capital Federal",,8.0,798.0,Avenida de los Incas 3800,si,5660000.0,7092731829573930.0,casas-,53993910,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Avenida de los Incas 3800,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5699958,-58.4581941
USD 3.800,"Belgrano, Capital Federal",,5.0,600.0,Ramsay al 1900,si,5377000.0,8961666666666660.0,casas-,54046155,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Ramsay 1900,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5540821,-58.4382895
USD 13.000,"Belgrano, Capital Federal",$ 400.000 Expensas,6.0,650.0,Ramsay 2000,si,18395000.0,28300.0,casas-,53019408,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Ramsay 2000,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5531399,-58.4390801
USD 7.500,"Belgrano, Capital Federal",,4.0,450.0,Malasia esq Gorostiaga,si,10612500.0,2.35833333333333e+16,casas-,53316386,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Malasia esq Gorostiaga,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 1.300,"Belgrano, Capital Federal",,,130.0,Olazabal 1392,si,1839500.0,14150.0,casas-,52708238,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Olazabal 1392,Belgrano, Ciudad de Buenos Aires, Argentina",-34.55414687959184,-58.44807433265306
Consultar precio,"Belgrano, Capital Federal",,8.0,700.0,Maure y Malasia,sin dato,1.0,0.0014285714285714,casas-,52874823,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Maure y Malasia,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 1.600,"Belgrano, Capital Federal",,5.0,115.0,o higgins 2000. Entre Juramento y Echeverria,si,2264000.0,1.96869565217391e+16,casas-,53939786,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"o higgins 2000. Entre Juramento y Echeverria,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 4.000,"Belgrano, Capital Federal",,6.0,365.0,O´higgins y Virrey Loreto,si,5660000.0,1.55068493150684e+16,casas-,53479419,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"O´higgins y Virrey Loreto,Belgrano, Ciudad de Buenos Aires, Argentina",,
Consultar precio,"Belgrano, Capital Federal",,5.0,1480.0,Gorostiaga 2100,sin dato,1.0,0.0006756756756756,casas-,53591258,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Gorostiaga 2100,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 8.000,"Belgrano, Capital Federal",,5.0,550.0,Olazábal 1200  y Cazadores,si,11320000.0,2058181818181810.0,casas-,53467350,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Olazábal 1200 y Cazadores,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 4.000,"Belgrano, Capital Federal",,7.0,450.0,Zavalía al 2100,si,5660000.0,1.25777777777777e+16,casas-,53907465,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Zavalía 2100,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5593342,-58.4518275
USD 2.000,"Belgrano, Capital Federal",,5.0,270.0,Arribeños  al 3520,si,2830000.0,1.04814814814814e+16,casas-,54137813,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Arribeños 3520,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5571288,-58.4508822
950000,"Belgrano, Capital Federal",,3.0,230.0,Montañeses 2607,no,950000.0,4130434782608690.0,casas-,53787121,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Montañeses 2607,Belgrano, Ciudad de Buenos Aires, Argentina",-34.55264759387755,-58.45289250408163
USD 2.000,"Belgrano, Capital Federal",,6.0,380.0,Ciudad de La Paz 1068,si,2830000.0,7447368421052630.0,casas-,45689324,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Ciudad de La Paz 1068,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5654454,-58.4552503
Consultar precio,"Belgrano, Capital Federal",,8.0,250.0,La Pampa ,sin dato,1.0,0.004,casas-,52840893,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"La Pampa ,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5589896,-58.4443218
1650000,"Belgrano, Capital Federal",,3.0,92.0,Olazabal  al 1200,no,1650000.0,1.79347826086956e+16,ph-,54137927,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Olazabal 1200,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5568494,-58.4527672
USD 350,"Belgrano, Capital Federal",,1.0,45.0,Cabildo al 1400,si,495250.0,1.10055555555555e+16,ph-,54164625,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Cabildo 1400,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5675833,-58.4499433
380000,"Belgrano, Capital Federal",$ 8.000 Expensas,2.0,38.0,JURAMENTO 1600. Entre AriibeÑos y MontaÑeses,no,380000.0,10000.0,ph-,53298528,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"JURAMENTO 1600. Entre AriibeÑos y MontaÑeses,Belgrano, Ciudad de Buenos Aires, Argentina",,
850000,"Belgrano, Capital Federal",,3.0,84.0,Santos Dumont 2450,no,850000.0,1.01190476190476e+16,ph-,51030174,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Santos Dumont 2450,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 1.800,"Belgrano, Capital Federal",,4.0,160.0,SUCRE ANTONIO J DE MCAL. 3900,si,2547000.0,15918.75,ph-,53974388,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"SUCRE ANTONIO J DE MCAL. 3900,Belgrano, Ciudad de Buenos Aires, Argentina",,
330000,"Belgrano, Capital Federal",,2.0,32.0,Forest al 1300,no,330000.0,10312.5,ph-,54083617,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Forest 1300,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 7.000,"Belgrano, Capital Federal",,5.0,189.0,Manuel Ugarte ,si,9905000.0,5240740740740740.0,ph-,51377066,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Manuel Ugarte ,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5558193,-58.4605403
1500000,"Belgrano, Capital Federal",,,270.0,Zapata 686 | Belgrano,no,1500000.0,5555555555555550.0,ph-,54060611,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Zapata 686 | Belgrano,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 700,"Belgrano, Capital Federal",,2.0,50.0,Tronador y Carbajal,si,990500.0,19810.0,ph-,53602584,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Tronador y Carbajal,Belgrano, Ciudad de Buenos Aires, Argentina",,
650000,"Belgrano, Capital Federal",,1.0,112.0,Av. Cabildo 2900,no,650000.0,5803571428571420.0,ph-,53761515,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. Cabildo 2900,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5556721,-58.462656
1120000,"Belgrano, Capital Federal",,4.0,130.0,Moldes y Blanco Encalada,no,1120000.0,8615384615384610.0,ph-,54020427,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Moldes y Blanco Encalada,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5610201,-58.4620801
1120000,"Belgrano, Capital Federal",,4.0,130.0,Moldes y Blanco Encalada,no,1120000.0,8615384615384610.0,ph-,54020427,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Moldes y Blanco Encalada,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5610201,-58.4620801
650000,"Belgrano, Capital Federal",,1.0,112.0,Av. Cabildo 2900,no,650000.0,5803571428571420.0,ph-,53761515,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. Cabildo 2900,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5556721,-58.462656
430000,"Belgrano, Capital Federal",$ 76.980 Expensas,3.0,57.0,JURAMENTO 2100. Entre Cuba y Arcos,no,430000.0,7543859649122800.0,departamentos-,53880417,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"JURAMENTO 2100. Entre Cuba y Arcos,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 13.000,"Belgrano, Capital Federal",$ 1.500.000 Expensas,7.0,650.0,Ramsay al 2000,si,18395000.0,28300.0,departamentos-,52921885,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Ramsay 2000,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5531399,-58.4390801
550000,"Belgrano, Capital Federal",$ 170.000 Expensas,3.0,80.0,Echeverria  al 2100,no,550000.0,6875.0,departamentos-,53944404,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Echeverria 2100,Belgrano, Ciudad de Buenos Aires, Argentina",-34.561302,-58.4529086
450000,"Belgrano, Capital Federal",$ 170.000 Expensas,1.0,36.0,Montañeses al 2300,no,450000.0,12500.0,departamentos-,53169275,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Montañeses 2300,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5556343,-58.4505411
USD 10.000,"Belgrano, Capital Federal",,6.0,400.0,4 Ambientes EN Forum Alcorta -ramsay al 2000,si,14150000.0,35375.0,departamentos-,51837317,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"4 Ambientes EN Forum Alcorta -ramsay 2000,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 1.200,"Belgrano, Capital Federal",$ 180.000 Expensas,4.0,102.0,Av. Ricardo Balbin  al 2400,si,1698000.0,1.66470588235294e+16,departamentos-,54138031,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. Ricardo Balbin 2400,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5628896,-58.4650836
USD 600,"Belgrano, Capital Federal",$ 75.000 Expensas,2.0,45.0,Ciudad de la Paz al 3200,si,849000.0,1.88666666666666e+16,departamentos-,53660689,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Ciudad de la Paz 3200,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5566677,-58.4627724
USD 2.100,"Belgrano, Capital Federal",$ 380.325 Expensas,5.0,198.0,AV. DEL LIBERTADOR 5500. Entre Esquina virrey del pino,si,2971500.0,1.50075757575757e+16,departamentos-,41930012,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"AV. DEL LIBERTADOR 5500. Entre Esquina virrey del pino,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 500,"Belgrano, Capital Federal",,2.0,36.0,Tunez 2585 5,si,707500.0,1.96527777777777e+16,departamentos-,54067783,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Tunez 2585 5,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5552315,-58.4547979
USD 500,"Belgrano, Capital Federal",$ 106.000 Expensas,1.0,43.0,Jorge Newbery al 1700,si,707500.0,1.6453488372093e+16,departamentos-,54045237,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Jorge Newbery 1700,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 8.500,"Belgrano, Capital Federal",$ 1.500.000 Expensas,5.0,420.0,Echeverria al 1800,si,12027500.0,2.86369047619047e+16,departamentos-,53998731,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Echeverria 1800,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5596327,-58.4500122
600000,"Belgrano, Capital Federal",$ 98.890 Expensas,3.0,56.0,Olazabal al 1900 Piso 2º,no,600000.0,1.07142857142857e+16,departamentos-,53821042,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Olazabal 1900 Piso 2º,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 4.800,"Belgrano, Capital Federal",$ 700.000 Expensas,4.0,223.0,Arcos 1400,si,6792000.0,3.0457399103139e+16,departamentos-,54149567,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Arcos 1400,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5667788,-58.4477442
USD 1.000,"Belgrano, Capital Federal",$ 160.000 Expensas,4.0,95.0,Av De Los Incas al 3200,si,1415000.0,1.48947368421052e+16,departamentos-,53982156,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av De Los Incas 3200,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5714627,-58.4593844
USD 2.500,"Belgrano, Capital Federal",$ 500.000 Expensas,5.0,190.0,Av. del Libertador al 5000,si,3537500.0,1861842105263150.0,departamentos-,53917592,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. del Libertador 5000,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5601326,-58.4447943
USD 2.200,"Belgrano, Capital Federal",,4.0,130.0,Castañeda al 1800,si,3113000.0,2.39461538461538e+16,departamentos-,53863089,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Castañeda 1800,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5522212,-58.4380702
USD 5.500,"Belgrano, Capital Federal",$ 1.400.000 Expensas,5.0,280.0,3 de Febrero al 1400,si,7782500.0,2779464285714280.0,departamentos-,52954359,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"3 de Febrero 1400,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5659902,-58.446425
USD 4.000,"Belgrano, Capital Federal",$ 800.000 Expensas,,330.0,11 de Septiembre  al 1700,si,5660000.0,1.71515151515151e+16,departamentos-,53720550,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"11 de Septiembre 1700,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5626563,-58.4478966
650000,"Belgrano, Capital Federal",$ 220.884 Expensas,2.0,44.0,Virrey Loreto al 1900 Piso 8º Con Cochera Fija,no,650000.0,1.47727272727272e+16,departamentos-,53987692,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Virrey Loreto 1900 Piso 8º Con Cochera Fija,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 6.000,"Belgrano, Capital Federal",$ 700.000 Expensas,5.0,337.0,Sucre 750,si,8490000.0,2.51928783382789e+16,departamentos-,53984251,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Sucre 750,Belgrano, Ciudad de Buenos Aires, Argentina",-34.55366697755102,-58.43766836326531
USD 5.499,"Belgrano, Capital Federal",$ 1.399.000 Expensas,5.0,279.0,3 de Febrero al 1400,si,7781085.0,278891935483871.0,departamentos-,54026857,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"3 de Febrero 1400,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5659902,-58.446425
750000,"Belgrano, Capital Federal",$ 50 Expensas,1.0,35.0,Teodoro Garcia al 2300,no,750000.0,2.14285714285714e+16,departamentos-,53845751,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Teodoro Garcia 2300,Belgrano, Ciudad de Buenos Aires, Argentina",-34.56928645,-58.44613485
USD 3.000,"Belgrano, Capital Federal",$ 600.000 Expensas,4.0,178.0,Olleros 2200,si,4245000.0,2.38483146067415e+16,departamentos-,53949938,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Olleros 2200,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5624114,-58.4352459
450000,"Belgrano, Capital Federal",$ 60.000 Expensas,1.0,38.0,Congreso Av. 2300,no,450000.0,1.18421052631578e+16,departamentos-,53875082,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Congreso Av. 2300,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5557416,-58.4631025
USD 2.500,"Belgrano, Capital Federal",$ 700.000 Expensas,4.0,134.0,Arribenos al 1500,si,3537500.0,2.63992537313432e+16,departamentos-,53452723,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Arribenos 1500,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5640101,-58.4454242
750000,"Belgrano, Capital Federal",$ 260.000 Expensas,3.0,77.0,Libertador 4800,no,750000.0,974025974025974.0,departamentos-,54122114,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Libertador 4800,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5600551,-58.4447094
USD 6.000,"Belgrano, Capital Federal",$ 650.000 Expensas,5.0,370.0,11 de Septiembre al 1900,si,8490000.0,2.29459459459459e+16,departamentos-,53759532,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"11 de Septiembre 1900,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5529809,-58.4561366
USD 4.000,"Belgrano, Capital Federal",,4.0,300.0,11 de Setiembre  al 1700,si,5660000.0,1.88666666666666e+16,departamentos-,53545868,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"11 de Setiembre 1700,Belgrano, Ciudad de Buenos Aires, Argentina",,
USD 3.500,"Belgrano, Capital Federal",$ 720.000 Expensas,3.0,175.0,Av. Libertador 4800,si,4952500.0,28300.0,departamentos-,54071739,Buenos Aires,,,,,Belgrano,BELGRANO,NORTE,"Av. Libertador 4800,Belgrano, Ciudad de Buenos Aires, Argentina",-34.5601326,-58.4447943
