Precio,Barrios,Expensas,Ambientes,MetrosCuadrados,Direccion,Dolarizado,PrecioPesos,PrecioM2Pesos,ID,Latitud,Longitud
$ 450.000,"Caballito, Capital Federal",$ 60.800 Expensas,3.0,62.0,"Av. Rivadavia al 5200,Caballito, Capital Federal, Buenos Aires, Argentina",no,450000.0,7258.064516129032,53224996,-34.6254207,-58.4535123
USD 800,"Recoleta, Capital Federal",$ 135.000 Expensas,2.0,66.0,"Marcelo T. de Alvear  al 500,Recoleta, Capital Federal, Buenos Aires, Argentina",si,776000.0,11757.575757575758,53091725,-34.5972134,-58.3918196
USD 980,"Belgrano, Capital Federal",,3.0,75.0,"Av. Cramer  al 2500,Belgrano, Capital Federal, Buenos Aires, Argentina",si,950600.0,12674.666666666666,53428730,-34.558119,-58.4669826
USD 7.000,"Belgrano, Capital Federal",,7.0,750.0,"Virrey Loreto 2000. Entre 3 de febrero,Belgrano, Capital Federal, Buenos Aires, Argentina",si,6790000.0,9053.333333333334,53470614,,
$ 500.000,"Las Cañitas, Palermo",$ 43.050 Expensas,3.0,55.0,"Av Chenaut al 1700 Piso 10º,Las Cañitas, Palermo, Buenos Aires, Argentina",no,500000.0,9090.90909090909,52890005,,
$ 700.000,"Saavedra, Capital Federal",$ 40.000 Expensas,3.0,61.0,"Larralde  al 4100,Saavedra, Capital Federal, Buenos Aires, Argentina",no,700000.0,11475.409836065572,53484763,-34.569414,-58.508654
$ 350.000,"Boedo, Capital Federal",$ 29.500 Expensas,1.0,44.0,"24 DE NOVIEMBRE 1375. Entre Cochabamba y Constitucion,Boedo, Capital Federal, Buenos Aires, Argentina",no,350000.0,7954.545454545455,52721443,,
USD 1.300,"Palermo Hollywood, Palermo",$ 107.300 Expensas,2.0,45.0,"Amenabar 50,Palermo Hollywood, Palermo, Buenos Aires, Argentina",si,1261000.0,28022.222222222223,53208973,-34.57721432653061,-58.4393463877551
USD 2.200,"Palermo Hollywood, Palermo",$ 294.000 Expensas,4.0,100.0,"Humboldt  2000,Palermo Hollywood, Palermo, Buenos Aires, Argentina",si,2134000.0,21340.0,53094134,-34.582421,-58.432747
USD 9.000,"Palermo, Capital Federal",$ 600.000 Expensas,4.0,400.0,"Demaría 4500,Palermo, Capital Federal, Buenos Aires, Argentina",si,8730000.0,21825.0,52052720,-34.5751459,-58.4204796
USD 2.100,"Palermo, Capital Federal",$ 252.000 Expensas,2.0,94.0,"Beruti al 4600,Palermo, Capital Federal, Buenos Aires, Argentina",si,2037000.0,21670.212765957447,53432070,-34.5770911,-58.4253155
USD 22.460,"Puerto Madero, Capital Federal",$ 280.000 Expensas,6.0,471.0,"Azucena Villaflor 500,Puerto Madero, Capital Federal, Buenos Aires, Argentina",si,21786200.0,46255.2016985138,52880170,-34.6115125,-58.3620362
Consultar precio,"Recoleta, Capital Federal",$ 285.000 Expensas,8.0,372.0,"Juncal al 700,Recoleta, Capital Federal, Buenos Aires, Argentina",sin dato,1.0,0.0026881720430107,53472773,-34.5928429,-58.3875543
USD 4.500,"Retiro, Capital Federal",,5.0,279.0,"Libetador al 300,Retiro, Capital Federal, Buenos Aires, Argentina",si,4365000.0,15645.16129032258,53314882,,
USD 650,"Retiro, Capital Federal",$ 74.829 Expensas,2.0,55.0,"Arroyo al 800,Retiro, Capital Federal, Buenos Aires, Argentina",si,630500.0,11463.636363636364,53501776,,
$ 400.000,"Colegiales, Capital Federal",$ 71.000 Expensas,1.0,35.0,"Moldes  al 600,Colegiales, Capital Federal, Buenos Aires, Argentina",no,400000.0,11428.57142857143,53487600,-34.572714,-58.4468808
$ 500.000,"Villa Urquiza, Capital Federal",$ 26.000 Expensas,2.0,54.0,"Tamborini al 4300,Villa Urquiza, Capital Federal, Buenos Aires, Argentina",no,500000.0,9259.25925925926,53515246,-34.5727925,-58.5041855
USD 1.200,"Recoleta, Capital Federal",$ 128.000 Expensas,3.0,115.0,"Montevideo al 1700,Recoleta, Capital Federal, Buenos Aires, Argentina",si,1164000.0,10121.739130434782,53294318,-34.5878285,-58.3840144
USD 4.500,"Puerto Madero, Capital Federal",$ 400.000 Expensas,3.0,196.0,"El Faro - 3 Ambientes + Dependencia - 196 m²  - 2 Cocheras,Puerto Madero, Capital Federal, Buenos Aires, Argentina",si,4365000.0,22270.408163265307,53212096,,
